date,goog,direct,fb,outbrain,insta,twtr,yahoo,goognews,flipboard,gcs
2017-01-02,660000000,820000000,845000000,15400000,2800000,83500000,17000000,21300000,21300000,2800000
2017-01-09,635079434,799865278,801373440,13922885,1890196,85899952,16354838,20646999,19485902,2861472
2017-01-16,630164135,806723821,826518291,15239503,2502564,88268937,17158064,23329514,22318494,2984418
2017-01-23,588875625,775713410,842373651,15400000,1817295,91365650,15990322,24785736,22900492,3107364
2017-01-30,649825331,839742804,859979911,15400000,1231171,95453311,16964516,26395245,20956374,3408580
2017-02-06,596543491,834353949,833570522,16387463,388436,92914006,15029032,24785736,21219511,3660619
2017-02-13,653364346,845768524,805750687,16999526,1304072,90684373,14819354,24286022,17476774,3906510
2017-02-20,597772316,804323331,804145696,16022945,2724183,85899952,15403225,23366302,20841832,4767129
2017-02-27,597772316,813190447,796850285,16975044,2942885,90808242,16158064,26858170,24374059,5504803
2017-03-06,631147195,835333741,799671177,19344411,2616289,85729633,14100000,23329514,23646562,5443330
2017-03-13,660000000,822057562,776423133,19515789,2173051,84775845,13651612,24080618,24550515,5996585
2017-03-20,680693408,842633190,789603510,18993494,2939969,87228442,14235483,25512314,22371122,6303949
2017-03-27,689147722,872614819,723604356,18041395,2502564,82273701,12851612,23767913,25330639,6611313
2017-04-03,711856403,863649724,710423979,18267179,2867068,78929252,12890322,26303273,23432957,6488368
2017-04-10,723653120,863649724,653276591,17135541,2065158,83654835,14819354,27103429,22238006,6749627
2017-04-17,686640919,846454378,593405582,17995150,1444042,81654359,14235483,26107066,18832703,6918677
2017-04-24,822598086,848609920,640047578,18852040,1971845,70859218,11896774,21661756,24500984,6242477
2017-05-01,762189063,838420085,680318249,18985334,2800000,81697713,14235483,23872148,24324527,8148134
2017-05-08,702369876,806184935,662031084,19572915,2289693,87147927,14058064,26554663,24370963,8812040
2017-05-15,744444834,833913043,678324170,18563690,3899346,91731062,14235483,27413068,22290633,9303822
2017-05-22,718983586,799865278,679637344,17021289,1820211,91731062,13229032,27842270,19609731,9918550
2017-05-29,757765294,816080832,699043138,17372205,2076822,87020962,12948387,28525928,23767296,10348860
2017-06-05,815569209,875211267,699383590,17867297,3558169,85899952,12480645,29080826,24519558,10902115
2017-06-12,802199596,857477036,640971664,18729627,3558169,82868270,13064516,29080826,22309207,12838509
2017-06-19,733926094,819804041,602743709,16735659,2324685,80099809,12932258,27747233,22352548,14928584
2017-06-26,788879136,866344151,660085641,18049556,3362795,79399952,11158064,26481085,24209985,16219513
2017-07-03,784455367,900783833,691358638,18231815,3873102,79957360,11158064,26202104,25624734,17141605
2017-07-10,771085754,883196570,691358638,17867297,3835193,79895426,11051612,27621538,25581393,17571915
2017-07-17,784455367,879620330,709597166,17867297,3948919,80576703,11535483,27777890,24872471,24576741
2017-07-24,793302905,881922841,720929371,18359668,4386324,79164602,11416129,27777890,29472725,25003977
2017-07-31,811981040,875211267,686008669,18852040,4313423,80143163,10725806,26588386,29163152,25864596
2017-08-07,818420082,889565217,681145062,19975517,4085972,76742972,10945161,28274538,29119812,26417851
2017-08-14,799201263,870753214,640047578,20824246,3558169,82530728,10725806,26858170,30943197,28329655
2017-08-21,853761081,929197795,640047578,21047309,1971845,78040495,10864516,18979241,29819447,29033519
2017-08-28,813603089,910630740,657653838,20916735,5590648,78229394,9977419,17967550,30379774,31261908
2017-09-04,903159834,967164727,710423979,22478178,5882252,74203668,12596774,20012392,31905969,33917533
2017-09-11,906846309,968242498,679637344,23680544,4616691,73088851,10541935,18332372,32624178,38343575
2017-09-18,891117352,948450704,675260097,23182732,5042433,74823010,10338709,19288880,34308255,43943748
2017-09-25,920117616,981518677,688440473,23501005,4313423,75795378,11145161,19077344,34868582,41976618
2017-10-02,914366716,979461114,640047578,22304080,4167621,83060266,14235483,20325097,36178075,41484836
2017-10-09,914366716,991708511,688440473,23985215,5809351,76919485,11896774,19077344,34983124,40870108
2017-10-16,935551654,1014194733,643549376,23783914,4616691,73708194,10725806,17875578,34868582,43021656
2017-10-23,922231194,1019485609,631244449,23530928,4520462,74172701,7935483,18372226,35602270,36834418
2017-10-30,886693583,957562767,655465214,22304080,5360281,77145545,6322580,19960275,37335878,44374057
2017-11-06,900014043,974268218,641603933,22625073,5578984,74296569,6887096,19077344,37998364,54968895
2017-11-13,928031247,996117575,552113554,23033116,5672297,72429252,7551612,18522447,38797063,56693208
2017-11-20,900014043,999252908,503720659,22796451,5803519,68227012,6177419,17725357,40697840,53545800
2017-11-27,860003510,980489895,479402622,20824246,5768526,74234635,9403225,19411509,39920812,51529492
2017-12-04,922231194,987446417,547687671,22796451,5876420,72934016,7467741,17725357,41041466,49869726
2017-12-11,917807425,990385793,570497991,22970549,5815183,73739161,7106451,18914861,40481139,53865459
2017-12-18,928277012,987985303,561986677,22606031,7019507,72995950,5735483,17412652,38995189,54418714
2017-12-25,839359255,950508266,564613026,21517918,6363398,68474749,6048387,16618628,38797063,55774189
2018-01-01,1028893180,985045927,583775639,22796451,5269884,78247975,6541935,18151493,40852627,61346699
2018-01-08,944448345,965401102,584991541,20919455,6474208,81409718,8387096,18341569,39657675,63575088
2018-01-15,1060007021,966723821,549438570,20331874,6200100,78229394,10890322,19181579,41601793,70512294
2018-01-22,1114812604,997930189,556490801,22796451,5307792,74860171,9558064,20484515,43152754,72110587
2018-01-29,1130000877,1008952847,547687671,23460201,4179286,73550262,9116129,22967757,42576948,72786788
2018-02-05,1103409110,1008120024,543310425,23288823,4432981,74674368,9722580,23206884,42443832,75829692
2018-02-12,1108914245,1024972443,537328187,23288823,5328205,73550262,10003225,24635515,42725543,77440279
2018-02-19,1144451856,1025805266,516901036,22456416,6494620,73550262,10003225,23262068,44716097,77317334
2018-02-26,1164653734,1034672382,552113554,21811709,7334439,72196998,8632258,23185424,43966931,75657568
2018-03-05,1169126656,1063821187,558971241,22184387,6897033,71026441,8974193,22412860,44409620,76641133
2018-03-12,1160770648,1024237599,554934447,22094618,6532528,76166984,10141935,23875214,43477806,85858980
2018-03-19,1172665671,1024090630,560916684,22140863,6561689,72822534,10141935,22182930,43966931,83630591
2018-03-26,1152168875,997146356,512523789,21460792,6634590,69292282,9277419,17814263,43744038,87318959
2018-04-02,1182447116,1050740967,569671177,22304080,6307993,71769652,10890322,17771343,44641800,90315758
2018-04-09,1195669270,1047948560,512523789,22538024,6730819,71583849,11896774,19635307,42607906,88794306
2018-04-16,1197832002,1034672382,525704165,22946067,6964102,70035493,11896774,18752377,41812303,91130273
2018-04-23,1206679540,1051377832,556490801,23174571,7258622,71305145,18480645,18715588,42165216,89200027
2018-04-30,1227127183,1053974280,591703319,23288823,6832880,66257503,11312903,17756014,42827702,87423463
2018-05-07,1291173527,954917330,698264960,24276286,7523981,67372320,13887096,20190205,44409620,88960283
2018-05-14,1181316597,1021396203,588882427,22304080,7013675,71955454,15038709,29080826,44685140,86747262
2018-05-21,1185396295,1043539497,578474307,22176227,7086576,71305145,16190322,31125669,42725543,85646899
2018-05-28,1211152462,1056815676,644473461,23400354,7360683,70184135,14487096,32413276,43846197,84743248
2018-06-04,1236761169,1094782608,657653838,23626138,7258622,74092186,18329032,36199454,43053691,82514859
2018-06-11,1212184674,1056815676,600457813,22902542,8127601,69447117,15222580,36162665,39357390,85551616
2018-06-18,1203976125,1021396203,623997673,23082081,8054700,70438065,16467741,39878332,42258088,79991401
2018-06-25,1233369612,1047948560,615145908,22796451,7690196,67651024,19693548,39918186,42725543,79007836
2018-07-02,1182938646,1052406613,519332839,21542400,6996178,72605764,21251612,46107898,40481139,79173812
2018-07-09,1227618713,1064164115,553961725,22040212,8600000,72110290,21383870,48827201,42734830,82044592
